Bobonaro 1&2;;;;Manatutu1&2;;;;Viqueque1&2;;;;Suai1&2;;;;Baucau1&2;;;
B1;;B2;;M1;;M2;;V1;;V2;;S1;;S2;;Ba1;;Ba2;
RT;MA;RT;MA;RT;MA;RT;MA;RT;MA;RT;MA;RT;MA;RT;MA;RT;MA;RT;MA
1.58;6818126;1.58;1290190;1.58;830165;1.59;1061075;0.97;28407;1.58;1166667;1.58;2028147;1.59;1233300;1.58;1121296;1.04;14757
2.45;17069414;2.50;15333157;2.52;248664706;2.50;7509304;1.03;7522;2.41;21709432;2.50;7096338;2.51;3657992;2.49;47391667;1.05;87986
3.28;3003788115;3.25;3496856512;3.19;3744998654;3.21;1992955623;1.06;517344;2.61;9187313;3.17;2239315659;2.63;38510141;3.15;2818971432;1.08;50640
5.34;6018977;5.54;4972067;5.58;49068772;12.92;367976526;1.16;3791;3.38;2514941211;5.04;5313583;3.19;2413785924;5.05;2648158;1.32;189077
10.20;27026301;13.16;605234158;11.84;14740110;19.14;6082072;1.58;1924677;5.03;2742187;5.31;7739818;5.06;4955929;5.48;9452628;1.59;2644613
12.60;362163081;14.54;12349386;13.07;563189920;22.07;9042887;2.50;173864633;5.45;8448704;5.47;3878557;5.50;6320802;12.87;341320107;2.52;109481056
14.14;10309836;19.17;7938603;14.48;8965393;;;3.15;4577866986;12.81;292951603;11.66;7154209;13.02;464423027;14.37;6134703;3.63;51127118354
18.94;9460983;22.08;11880292;19.15;6211578;;;5.57;9582829;14.33;5740599;12.92;331285488;14.09;5351365;17.23;304409;5.22;3345556
22.08;6361494;;;22.08;16202512;;;8.48;2084056;19.08;4083013;14.41;11272588;14.46;7269865;19.12;2279167;5.69;19650547
;;;;;;;;13.03;570971933;22.05;9763066;22.09;3186378;19.14;5319847;21.99;4348158;12.54;480065
;;;;;;;;14.45;7386109;27.44;252434;24.42;29969709;22.09;10651769;;;13.08;554249004
;;;;;;;;17.05;18562640;28.30;1930415;;;22.44;4474242;;;14.49;21539465
;;;;;;;;19.14;11950983;28.31;3796552;;;;;;;22.07;19031287
;;;;;;;;21.94;21354;;;;;;;;;;
;;;;;;;;21.95;54616635;;;;;;;;;;
;;;;;;;;23.10;777487;;;;;;;;;;
